growth_form,species_id,scientific_name,common_name
flower_herbaceous,FBaiMul,Baileya multiradiata,Desert Marigolds
tree,TBauCan,Bauhinia candida,white orchid tree
tree,TBauPur,Bauhinia purpurea,orchid tree
flower_herbaceous,Fbel,Bellis,Daisy (unknown)
tree,TBisNob,Bismarkia nobilis,Bismark Palm
shrub,SBouGla,Bougainvillea glabra,"Bougainvillea, Paper Flower; Lesser Bougainvillea"
shrub,SBouSpe,Bougainvillea spectabilis,torchglow bougianvillae
tree,TBraPop,Brachychiton populneus,Bottle Tree
tree,TBraArm,Brahea armata,Mexican Blue Fan Palm
shrub,Sbra,Brassica,Cabbage
tree,TBroPap,Broussonetia papyifera,Paper Mulberry
shrub,SBudMar,Buddleia marrubifolia,Woolly Butterfly Bush
shrub,SBuxMic,Buxus microphylla japnoica,Japanese boxwood
shrub,Scae,Caesalpinia gillesii,Mexican Bird of Paradise (Red Flower)
shrub,SCaeMex,Caesalpinia mexicana,Yellow Bird of Paradise (All Yellow Flower)
shrub,SCaePul,Caesalpinia pulcherrima,Red Bird of Paradise (All Red Flower)
shrub,SCalCal,Calliandra californica,Baja fairy duster
shrub,SCalEri,Calliandra eriophylla,pink fairy duster
flower_herbaceous,FCalInv,Callirhoe involucrata,Winecup flower
shrub,SCalCit,Callistemon citrinus,little john bottle brush
tree,TCalRig,Callistemon rigida,Bottlebrush Tree
tree,TCalVim,Callistemon viminalis,Weeping Bottle Brush Tree
shrub,SCamEri,Campanulaceae erinus,Blue Moon Lobelia
vine,VCamRad,Campsis radicans,Trumpet vine
shrub,SCanGen,Canna x generalis,Canna
shrub,Scap,Capsicum,Pepper Plant (unknown)
shrub,Scar,Carissa,Carissa (unknown)
shrub,SCarMac,Carissa macrocarpa,natal plum or carissa green carpet
shrub,SCarMac Varigated,Carissa macrocarpa - varigated,varigated carissa
cacti_succulent,CCarGig,Carnegiea gigantea,Saguaro
tree,TCarIll,Carya illinoinensis,Pecan
shrub,SCasNem,Cassia nemophila,needle cassia
shrub,SCasPhy,Cassia phyllodinea,feather cassia
groundcover,GCerPlu,Ceratostigma plumbaginoides,
tree,Tcer,Cercidium,Palo Verde (Species Unknown)
tree,TCerAcu,Cercidium aculeata,Mexican Palo Verde
tree,TCerFlo,Cercidium floridata,Blue Palo Verde
tree,TCerHyb,Cercidium hybrid,hybrid palo verde
tree,TCerMic,Cercidium microphyllum,Foothills Palo Verde
tree,TCerPra,Cercidium praecox,Palo Brea
cacti_succulent,Ccer,Cereus,Cereus (unknown)
cacti_succulent,CCerHil,Cereus hildmannianus,Hildmann's cactus
cacti_succulent,CCerHilTor,Cereus hildmannianus f. tortuosus,twisted cereus
cacti_succulent,CCerPer,Cereus peruvianus,Night Blooming Cereus
tree,TChaHum,Chamaerops humilis ,Mediterranean fan palm
tree,Tcit,Citrus,Unknown Species of Citrus
tree,TCitAur,Citrus aurantifolia,Lime Tree
tree,TCitAur,Citrus aurantium,Ornamental Orange
tree,TCitLim,Citrus limon,Lemon Tree
tree,TCitPar,Citrus paradisi,Grapefruit Tree
tree,TCitRet,Citrus reticulata,Tangerine Tree
tree,TCitSin,Citrus sinensis,Orange Tree
shrub,SConCne,Convolvulus cneorum,Bush Morning Glory
tree,TCorboi,Cordia boissieri,Texas Olive
shrub,SCorPar,Cordia parvifolia,Cordia
grass,RCorSel,Cortaderia selloana,Pampas Grass
